,Winner,Turns,Win_Rate
0,Bot,91.0,1.0
1,Bot,20.0,1.0
2,Bot,91.0,1.0
3,AI,75.0,0.25
4,Bot,130.0,0.8
5,Bot,18.0,0.8333333333333334
6,AI,33.0,0.2857142857142857
7,Bot,100.0,0.75
8,Bot,124.0,0.7777777777777778
9,Bot,33.0,0.8
10,Bot,15.0,0.8181818181818182
11,AI,59.0,0.25
12,AI,90.0,0.3076923076923077
13,AI,33.0,0.35714285714285715
14,Bot,84.0,0.6666666666666666
15,Bot,47.0,0.6875
16,Bot,83.0,0.7058823529411765
17,Bot,28.0,0.7222222222222222
18,AI,74.0,0.3157894736842105
19,AI,39.0,0.35
20,AI,29.0,0.38095238095238093
21,AI,64.0,0.4090909090909091
22,AI,54.0,0.43478260869565216
23,Bot,17.0,0.5833333333333334
24,AI,52.0,0.44
25,AI,45.0,0.46153846153846156
26,AI,69.0,0.48148148148148145
27,AI,17.0,0.5
28,Bot,100.0,0.5172413793103449
29,Bot,51.0,0.5333333333333333
30,AI,130.0,0.4838709677419355
31,AI,63.0,0.5
32,Bot,41.0,0.5151515151515151
33,AI,113.0,0.5
34,AI,55.0,0.5142857142857142
35,AI,66.0,0.5277777777777778
36,AI,73.0,0.5405405405405406
37,AI,99.0,0.5526315789473685
38,AI,126.0,0.5641025641025641
39,Bot,16.0,0.45
40,Bot,21.0,0.4634146341463415
41,Bot,44.0,0.47619047619047616
42,AI,44.0,0.5348837209302325
43,AI,165.0,0.5454545454545454
44,AI,110.0,0.5555555555555556
45,AI,52.0,0.5652173913043478
46,AI,22.0,0.574468085106383
47,AI,40.0,0.5833333333333334
48,AI,86.0,0.5918367346938775
49,Bot,39.0,0.42
50,Bot,47.0,0.43137254901960786
51,AI,40.0,0.5769230769230769
52,Bot,54.0,0.4339622641509434
53,Bot,59.0,0.4444444444444444
54,AI,39.0,0.5636363636363636
55,Bot,29.0,0.44642857142857145
56,Bot,9.0,0.45614035087719296
57,Bot,48.0,0.46551724137931033
58,Bot,60.0,0.4745762711864407
59,Bot,12.0,0.48333333333333334
60,Bot,19.0,0.4918032786885246
61,Bot,110.0,0.5
62,AI,94.0,0.5079365079365079
63,Bot,118.0,0.5
64,Bot,31.0,0.5076923076923077
65,Bot,44.0,0.5151515151515151
66,Bot,49.0,0.5223880597014925
67,Bot,80.0,0.5294117647058824
68,AI,40.0,0.4782608695652174
69,AI,147.0,0.4857142857142857
70,AI,68.0,0.49295774647887325
71,Bot,25.0,0.5138888888888888
72,Bot,31.0,0.5205479452054794
73,AI,60.0,0.4864864864864865
74,Bot,61.0,0.52
75,AI,69.0,0.4868421052631579
76,AI,102.0,0.4935064935064935
77,AI,14.0,0.5
78,AI,22.0,0.5063291139240507
79,AI,14.0,0.5125
80,AI,133.0,0.5185185185185185
81,Bot,92.0,0.4878048780487805
82,Bot,62.0,0.4939759036144578
83,AI,31.0,0.5119047619047619
84,AI,34.0,0.5176470588235295
85,AI,29.0,0.5232558139534884
86,AI,32.0,0.5287356321839081
87,AI,60.0,0.5340909090909091
88,AI,46.0,0.5393258426966292
89,AI,93.0,0.5444444444444444
90,Bot,127.0,0.46153846153846156
91,Bot,64.0,0.4673913043478261
92,AI,109.0,0.5376344086021505
93,AI,20.0,0.5425531914893617
94,AI,18.0,0.5473684210526316
95,AI,77.0,0.5520833333333334
96,AI,23.0,0.5567010309278351
97,Bot,56.0,0.4489795918367347
98,AI,34.0,0.5555555555555556
99,,,
100,AI,20.0,0.5544554455445545
101,AI,13.0,0.5588235294117647
102,AI,120.0,0.5631067961165048
103,AI,30.0,0.5673076923076923
104,AI,65.0,0.5714285714285714
105,Bot,101.0,0.42452830188679247
106,AI,160.0,0.5700934579439252
107,AI,23.0,0.5740740740740741
108,AI,23.0,0.5779816513761468
109,Bot,61.0,0.41818181818181815
110,Bot,14.0,0.42342342342342343
111,Bot,51.0,0.42857142857142855
112,AI,34.0,0.5663716814159292
113,AI,57.0,0.5701754385964912
